phase,t_s,overhang_cm,r_m,rdot_m_s,theta_deg,theta_dot_rad_s,alpha_deg,alpha_dot_rad_s,normal_per_mass_m_s2,friction_per_mass_m_s2,normal_N,friction_N,y_cm_m,y_nearest_edge_m
free_fall,0.1598026346612483,1.1,,,,,70.05050251017789,11.725220255598739,0.0,0.0,,,-0.02486637171831927,-0.07280605165576774
free_fall,0.1608017489972483,1.1,,,,,70.72171315061954,11.725220255598739,0.0,0.0,,,-0.025563486894060867,-0.0737037199073436
free_fall,0.1618008633332483,1.1,,,,,71.39292379106116,11.725220255598739,0.0,0.0,,,-0.02627038471847519,-0.07460456424397094
free_fall,0.1627999776692483,1.1,,,,,72.0641344315028,11.725220255598739,0.0,0.0,,,-0.026987065191562232,-0.07550855804924404
free_fall,0.1637990920052483,1.1,,,,,72.73534507194442,11.725220255598739,0.0,0.0,,,-0.027713528313322012,-0.07641567561706705
free_fall,0.1647982063422483,1.1,,,,,73.40655571305787,11.725220255598739,0.0,0.0,,,-0.02844977408449631,-0.07732589215609423
free_fall,0.16579732067824832,1.1,,,,,74.0777663534995,11.725220255598739,0.0,0.0,,,-0.029195802503611333,-0.07823918378948516
free_fall,0.1667964350142483,1.1,,,,,74.74897699394113,11.725220255598739,0.0,0.0,,,-0.029951613571399083,-0.07915552756364753
free_fall,0.16779554935024832,1.1,,,,,75.42018763438277,11.725220255598739,0.0,0.0,,,-0.03071720728785956,-0.08007490144774618
free_fall,0.1687946636862483,1.1,,,,,76.0913982748244,11.725220255598739,0.0,0.0,,,-0.03149258365299276,-0.080997284337636
free_fall,0.16979377802224832,1.1,,,,,76.76260891526603,11.725220255598739,0.0,0.0,,,-0.03227774266679869,-0.0819226560587583
free_fall,0.1707928923582483,1.1,,,,,77.43381955570766,11.725220255598739,0.0,0.0,,,-0.033072684329277346,-0.08285099736890933
free_fall,0.1717920066942483,1.1,,,,,78.10503019614929,11.725220255598739,0.0,0.0,,,-0.03387740864042873,-0.08378228996088108
free_fall,0.1727911210302483,1.1,,,,,78.77624083659092,11.725220255598739,0.0,0.0,,,-0.03469191560025284,-0.08471651646497366
free_fall,0.1737902353672483,1.1,,,,,79.44745147770435,11.725220255598739,0.0,0.0,,,-0.03551620520957959,-0.08565366045231851
free_fall,0.1747893497032483,1.1,,,,,80.11866211814598,11.725220255598739,0.0,0.0,,,-0.03635027746675895,-0.08659370643337827
free_fall,0.1757884640392483,1.1,,,,,80.78987275858762,11.725220255598739,0.0,0.0,,,-0.03719413237261104,-0.08753663986570019
free_fall,0.1767875783752483,1.1,,,,,81.46108339902926,11.725220255598739,0.0,0.0,,,-0.03804776992713585,-0.08848244715216294
free_fall,0.1777866927112483,1.1,,,,,82.13229403947089,11.725220255598739,0.0,0.0,,,-0.03891119013033339,-0.08943111564377917
free_fall,0.1787858070472483,1.1,,,,,82.80350467991252,11.725220255598739,0.0,0.0,,,-0.039784392982203653,-0.09038263364143143
free_fall,0.1797849213832483,1.1,,,,,83.47471532035415,11.725220255598739,0.0,0.0,,,-0.04066737848274664,-0.09133699039747764
free_fall,0.1807840357192483,1.1,,,,,84.14592596079578,11.725220255598739,0.0,0.0,,,-0.04156014663196236,-0.09229417611722612
free_fall,0.1817831500562483,1.1,,,,,84.81713660190923,11.725220255598739,0.0,0.0,,,-0.042462697430759054,-0.09325418196124202
free_fall,0.18278226439224832,1.1,,,,,85.48834724235086,11.725220255598739,0.0,0.0,,,-0.043375030877330016,-0.09421700004271422
free_fall,0.1837813787282483,1.1,,,,,86.15955788279248,11.725220255598739,0.0,0.0,,,-0.04429714697257371,-0.09518262343430269
free_fall,0.18478049306424832,1.1,,,,,86.83076852323411,11.725220255598739,0.0,0.0,,,-0.04522904571649013,-0.09615104616524858
free_fall,0.1857796074002483,1.1,,,,,87.50197916367574,11.725220255598739,0.0,0.0,,,-0.046170727109079275,-0.09712226322315318
free_fall,0.18677872173624832,1.1,,,,,88.17318980411737,11.725220255598739,0.0,0.0,,,-0.04712219115034115,-0.09809627055466563
free_fall,0.1877778360722483,1.1,,,,,88.84440044455903,11.725220255598739,0.0,0.0,,,-0.048083437840275745,-0.09907306506603938
free_fall,0.18877695040824832,1.1,,,,,89.51561108500066,11.725220255598739,0.0,0.0,,,-0.04905446717888308,-0.10005264462355666
free_fall,0.1897760647442483,1.1,,,,,90.18682172544229,11.725220255598739,0.0,0.0,,,-0.050035279166163134,-0.10103500805382126
free_fall,0.1907751790812483,1.1,,,,,90.85803236655572,11.725220255598739,0.0,0.0,,,-0.05102587380311228,-0.10202015514490709
free_fall,0.1917742934172483,1.1,,,,,91.52924300699735,11.725220255598739,0.0,0.0,,,-0.052026251087747576,-0.10300808664244043
free_fall,0.1927734077532483,1.1,,,,,92.20045364743898,11.725220255598739,0.0,0.0,,,-0.0530364110210556,-0.10399880425541355
free_fall,0.1937725220892483,1.1,,,,,92.87166428788062,11.725220255598739,0.0,0.0,,,-0.05405635360303636,-0.1049923106520089
free_fall,0.1947716364252483,1.1,,,,,93.54287492832225,11.725220255598739,0.0,0.0,,,-0.055086078833689836,-0.10598860946021767
free_fall,0.1957707507612483,1.1,,,,,94.21408556876388,11.725220255598739,0.0,0.0,,,-0.056125586713016054,-0.10698770526734186
free_fall,0.1967698650972483,1.1,,,,,94.8852962092055,11.725220255598739,0.0,0.0,,,-0.057174877241014985,-0.10798960361936467
free_fall,0.1977689794332483,1.1,,,,,95.55650684964714,11.725220255598739,0.0,0.0,,,-0.05823395041768665,-0.10899431102018957
free_fall,0.1987680937692483,1.1,,,,,96.22771749008876,11.725220255598739,0.0,0.0,,,-0.05930280624303104,-0.11000183493074753
free_fall,0.19976720810624832,1.1,,,,,96.8989281312022,11.725220255598739,0.0,0.0,,,-0.06038144471813263,-0.11101218376898589
free_fall,0.2007663224422483,1.1,,,,,97.57013877164383,11.725220255598739,0.0,0.0,,,-0.06146986584083228,-0.1120253669046655
free_fall,0.20176543677824832,1.1,,,,,98.24134941208547,11.725220255598739,0.0,0.0,,,-0.06256806961220464,-0.11304139466414179
free_fall,0.2027645511142483,1.1,,,,,98.9125600525271,11.725220255598739,0.0,0.0,,,-0.06367605603224973,-0.11406027832490596
free_fall,0.20376366545024832,1.1,,,,,99.58377069296874,11.725220255598739,0.0,0.0,,,-0.06479382510096754,-0.11508203011504688
free_fall,0.2047627797862483,1.1,,,,,100.25498133341037,11.725220255598739,0.0,0.0,,,-0.06592137681835808,-0.11610666321157302
free_fall,0.20576189412224832,1.1,,,,,100.92619197385201,11.725220255598739,0.0,0.0,,,-0.06705871118442136,-0.11713419173860419
free_fall,0.2067610084582483,1.1,,,,,101.59740261429364,11.725220255598739,0.0,0.0,,,-0.06820582819915735,-0.11816463076543304
free_fall,0.2077601227952483,1.1,,,,,102.26861325540708,11.725220255598739,0.0,0.0,,,-0.06936272786372889,-0.11919799630549291
