overhang_cm,slip_time_s,slip_angle_deg,slip_omega_rad_s,liftoff_phase,liftoff_time_s,liftoff_angle_deg,freefall_angular_velocity_rad_s,liftoff_y_m,liftoff_y_dot_m_s,freefall_time_s,total_landing_time_s,landing_total_angle_deg,landing_total_angle_mod_deg,landing_side,r_liftoff_m,rdot_liftoff_m_s,theta_liftoff_deg,theta_dot_liftoff_rad_s,friction_sign
0.7000000000000001,0.09079491856685495,17.373411539355438,6.9361962871539395,slip,0.1532674243426271,49.897014887391975,10.4671988352373,-0.005517071151650262,-0.3422166662939105,0.3459208570119876,0.4991882813546147,257.35485629254646,257.35485629254646,Down,0.014255175437956428,0.2381026448243954,65.64824983288898,19.024680786986067,1.0
0.7500000000000001,0.08761991461288714,17.150237102152627,7.07343499956526,slip,0.14869008625667843,49.58445844245587,10.667276852058317,-0.005655768927902673,-0.3427888811015642,0.34567281598158095,0.4943629022382594,260.8562069731516,260.8562069731516,Down,0.01450176730450374,0.235226161543074,63.86922450213269,18.800396591806287,1.0
0.8,0.08471296684684929,16.91615286337292,7.1967239857148515,slip,0.14452931644110054,49.26271263665527,10.854123339630945,-0.00581231352392476,-0.3439448452878578,0.3454229214694176,0.4899522379105181,264.07965847541635,264.07965847541635,Down,0.014775660434964803,0.2328897119468724,62.25826325519064,18.575129556300812,1.0
0.8500000000000001,0.08203692762820057,16.672687527175167,7.306844184856605,slip,0.1407304662147378,48.93359554382434,11.02822437404011,-0.005983573270939719,-0.34561791113984963,0.3451674153674937,0.48589788158223146,267.0347761050603,267.0347761050603,Down,0.015073411309965614,0.23101385448699563,60.79375924739116,18.35315627600381,1.0
0.9000000000000001,0.07956183919094377,16.42129733701003,7.4045341204464465,slip,0.1372487206425834,48.59874054117489,11.190081745103155,-0.006166983876623509,-0.3477499093870845,0.34490273206800987,0.48215145271059323,269.7312152040691,269.7312152040691,Down,0.015392153800002473,0.2295334883319959,59.45694955569995,18.13732156732608,1.0
0.9500000000000002,0.07726322967542007,16.163358789290132,7.490496405973582,slip,0.1340469101788529,48.2596205337665,11.340203872441304,-0.006360437706674529,-0.35028982211561377,0.34462566677954487,0.47867257695839777,272.17870723275905,272.17870723275905,Up,0.015729478510149494,0.22839502959800953,58.23163435717089,17.929400415735117,1.0
1.0,0.07512087417055717,15.900163483165732,7.565402228719457,slip,0.1310938904773772,47.91756585594533,11.47909940288233,-0.006562196929772992,-0.35319269287757626,0.34433347681475646,0.47542736729213364,274.3870531220368,274.3870531220368,Up,0.016083341755544385,0.22755413015543538,57.103882266423945,17.73038293773222,1.0
1.05,0.0731178785509392,15.63291488631501,7.6298944167778275,slip,0.12836332347773588,47.57377802054129,11.607272641559883,-0.006770824920235142,-0.3564187312951595,0.344023932595664,0.4723872560733999,276.36611484160915,276.36611484160915,Up,0.016451996081980173,0.22697385304777132,56.06174338710838,17.54069495745205,1.0
1.1,0.07123999179741762,15.362726786352809,7.684589519678515,slip,0.1258327472332483,47.229340732475194,11.725220255598739,-0.00698513170193791,-0.3599325758181755,0.3436953316240352,0.46952807885728354,278.12580107129247,278.12580107129247,Up,0.016833936591706723,0.22662322208698008,55.09498209233774,17.360366309419152,1.0
1.1500000000000001,0.06947508287733056,15.090623196090027,7.730079211015216,slip,0.12348285697711786,46.88522909165829,11.83342887582749,-0.00720413025710788,-0.3637026845482403,0.34334648591773353,0.4668293428948514,279.6760458518878,279.6760458518878,Up,0.017227858979936967,0.22647607275595005,54.19483536337728,17.18915758100096,1.0
1.2000000000000002,0.06781273800019517,14.817539486630569,7.766931235020711,slip,0.12129694303391506,46.542317587373674,11.932373343810394,-0.007427001298895963,-0.36770082961418854,0.34297669119324214,0.4642736342271572,281.0267807834233,281.0267807834233,Up,0.017632626342092412,0.22651014293691374,53.3537986328286,17.026654331444476,1.0
1.2500000000000002,0.06624394716540465,14.544324533487588,7.795690056837541,slip,0.11926044675235146,46.20138727257519,12.022515432241365,-0.007653064683657512,-0.3719016753024136,0.342585684279755,0.4618461310321065,282.18790221879374,282.18790221879374,Up,0.01804724262372531,0.2267063530725169,52.565438744387926,16.872336181722662,1.0
1.3,0.0647608577831538,14.271743676004073,7.8168773309628,slip,0.1173606063227304,45.86313236523952,12.104302920210383,-0.007881756069416062,-0.37628242403973755,0.34217359376327455,0.459534200086005,283.169235238094,283.169235238094,Up,0.018470831158894432,0.22704823524092158,51.824232330391965,16.725626698568387,1.0
1.35,0.06335657925489142,14.000482308050096,7.830992269109984,slip,0.11558617180489741,45.52816643026374,12.178168940416963,-0.00811260774926001,-0.3808225174897693,0.34174088763777927,0.4573270594426767,283.9804961981515,283.9804961981515,Up,0.018902617150859648,0.22752147898944863,51.12542725642985,16.58592874416836,1.0
1.4000000000000001,0.06202502667238548,13.731149937100037,7.83851196418816,slip,0.11392717398344775,45.1970282339349,12.244531539493558,-0.00834523283057659,-0.38550338256583777,0.3412883207396719,0.4552154947231197,284.63125547688054,284.63125547688054,Up,0.01934191324103816,0.2281135686254772,50.46492454246229,16.452648931321804,1.0
1.4500000000000002,0.06076079482934866,13.46428456845593,7.839891708934816,slip,0.11237473547225282,44.87018732315157,12.303793408601006,-0.00857931211414464,-0.39030821419985917,0.34081688393151083,0.4531916194037636,285.13090175653815,285.13090175653815,Up,0.019788107523206696,0.22881349217862298,49.839178177887035,16.325213991800755,1.0
1.5000000000000002,0.05955905592453787,13.200357290829587,7.835565334306856,slip,0.11092091526220026,44.54804935640227,12.356341752352854,-0.008814583166245456,-0.3952217883293496,0.34032775635676094,0.4512486716189612,285.48860888409405,285.48860888409405,Up,0.020240653513608018,0.22961150661676177,49.24511039566161,16.20308120542937,1.0
